GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,AJWVE001,AJWVE002,AJWVE003,AJWVE004,AJWVE005,AJWVE006,AJWVE007,AJWVE008,AJWVE009,AJWVE010,AJWVE011,AJWVE012,AJWVE013,AJWVE014,AJWVE015,AJWVE016,AJWVE017,AJWVE018,AJWVE019,AJWVE020,AJWVE021,NAME_M,AJWVM001,AJWVM002,AJWVM003,AJWVM004,AJWVM005,AJWVM006,AJWVM007,AJWVM008,AJWVM009,AJWVM010,AJWVM011,AJWVM012,AJWVM013,AJWVM014,AJWVM015,AJWVM016,AJWVM017,AJWVM018,AJWVM019,AJWVM020,AJWVM021
"G0100210","2014-2018","AL",,,"Alabama","01","Chilton County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01021",,,"Chilton County, Alabama",43930,40514,35205,4112,39,190,0,80,888,12,876,3416,1394,36,84,0,0,1778,124,85,39,"Chilton County, Alabama",0,0,93,333,178,61,25,93,383,20,383,0,692,53,100,25,25,700,108,97,49
"G0100230","2014-2018","AL",,,"Alabama","01","Choctaw County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01023",,,"Choctaw County, Alabama",13075,13002,7370,5570,9,13,0,5,35,0,35,73,50,20,0,0,0,3,0,0,0,"Choctaw County, Alabama",0,63,11,75,9,22,19,11,28,19,28,63,55,32,19,19,19,6,19,19,19
"G0100250","2014-2018","AL",,,"Alabama","01","Clarke County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01025",,,"Clarke County, Alabama",24387,24339,12895,11173,25,123,0,0,123,0,123,48,40,0,0,0,0,0,8,8,0,"Clarke County, Alabama",0,43,22,91,30,22,22,22,73,22,73,43,43,22,22,22,22,22,12,12,22
"G0100270","2014-2018","AL",,,"Alabama","01","Clay County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01027",,,"Clay County, Alabama",13378,12963,10740,1971,119,18,0,26,89,0,89,415,366,6,36,0,0,0,7,7,0,"Clay County, Alabama",0,0,19,61,36,22,19,31,62,19,62,0,62,12,56,19,19,19,13,13,19
"G0100290","2014-2018","AL",,,"Alabama","01","Cleburne County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01029",,,"Cleburne County, Alabama",14938,14576,13839,393,39,3,0,11,291,0,291,362,229,0,0,0,0,115,18,18,0,"Cleburne County, Alabama",0,0,21,73,65,6,19,21,76,19,76,0,122,19,19,19,19,124,27,27,19
"G0100310","2014-2018","AL",,,"Alabama","01","Coffee County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01031",,,"Coffee County, Alabama",51288,47739,36223,8746,581,666,0,41,1482,0,1482,3549,2700,83,36,0,0,603,127,10,117,"Coffee County, Alabama",0,0,56,281,92,102,28,56,315,28,315,0,376,71,39,28,28,364,148,10,148
"G0100330","2014-2018","AL",,,"Alabama","01","Colbert County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01033",,,"Colbert County, Alabama",54495,53146,42865,8561,367,244,29,18,1062,11,1051,1349,423,54,0,23,0,705,144,139,5,"Colbert County, Alabama",0,0,35,277,160,47,34,29,291,17,287,0,183,52,28,37,28,216,113,113,9
"G0100350","2014-2018","AL",,,"Alabama","01","Conecuh County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01035",,,"Conecuh County, Alabama",12514,12409,6274,5961,56,18,0,2,98,0,98,105,95,10,0,0,0,0,0,0,0,"Conecuh County, Alabama",0,108,5,140,46,19,19,5,87,19,87,108,106,20,19,19,19,19,19,19,19
"G0100370","2014-2018","AL",,,"Alabama","01","Coosa County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01037",,,"Coosa County, Alabama",10855,10805,7084,3713,8,0,0,0,0,0,0,50,49,0,1,0,0,0,0,0,0,"Coosa County, Alabama",0,48,19,49,12,19,19,19,19,19,19,48,47,19,2,19,19,19,19,19,19
"G0100390","2014-2018","AL",,,"Alabama","01","Covington County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01039",,,"Covington County, Alabama",37351,36747,31146,4790,58,144,13,0,596,0,596,604,478,36,0,15,0,70,5,0,5,"Covington County, Alabama",0,0,25,90,70,39,21,25,114,25,114,0,82,30,25,33,25,70,8,25,8
"G0100410","2014-2018","AL",,,"Alabama","01","Crenshaw County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01041",,,"Crenshaw County, Alabama",13865,13590,9869,3147,106,188,0,0,280,0,280,275,69,51,3,0,0,146,6,6,0,"Crenshaw County, Alabama",0,0,19,146,22,19,19,19,146,19,146,0,57,70,5,19,19,104,13,13,19
"G0100430","2014-2018","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01043",,,"Cullman County, Alabama",82313,78770,75826,954,348,334,0,9,1299,71,1228,3543,2566,44,0,0,3,784,146,100,46,"Cullman County, Alabama",0,0,97,85,155,145,28,13,237,97,232,0,357,57,28,28,4,353,105,95,43
"G0100450","2014-2018","AL",,,"Alabama","01","Dale County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01045",,,"Dale County, Alabama",49255,46185,34005,9611,300,533,4,244,1488,32,1456,3070,1884,138,77,100,0,703,168,18,150,"Dale County, Alabama",0,0,187,206,121,102,6,210,254,50,259,0,372,82,82,148,25,342,102,24,103
"G0100470","2014-2018","AL",,,"Alabama","01","Dallas County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01047",,,"Dallas County, Alabama",40029,39617,11024,28119,10,224,4,0,236,9,227,412,233,91,0,0,19,25,44,24,20,"Dallas County, Alabama",0,0,25,44,19,21,8,25,48,16,47,0,125,99,25,25,33,42,51,40,33
"G0100490","2014-2018","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01049",,,"DeKalb County, Alabama",71200,60980,57441,979,910,140,99,11,1400,8,1392,10220,3531,25,24,0,522,5888,230,139,91,"DeKalb County, Alabama",0,0,24,146,239,71,117,20,277,13,275,0,880,33,30,28,514,927,150,123,78
"G0100510","2014-2018","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01051",,,"Elmore County, Alabama",81212,78865,59471,17148,186,392,0,197,1471,21,1450,2347,1353,254,23,0,0,577,140,49,91,"Elmore County, Alabama",0,0,210,233,92,133,28,210,281,22,285,0,255,145,35,28,28,257,104,56,86
"G0100530","2014-2018","AL",,,"Alabama","01","Escambia County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01053",,,"Escambia County, Alabama",37328,36490,22480,11912,1435,135,72,39,417,6,411,838,615,8,2,0,0,193,20,20,0,"Escambia County, Alabama",0,0,40,263,82,157,86,40,178,10,178,0,130,16,4,25,25,120,35,35,25
"G0100550","2014-2018","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01055",,,"Etowah County, Alabama",102939,99059,80374,15816,424,739,66,80,1560,0,1560,3880,2336,396,327,0,0,671,150,76,74,"Etowah County, Alabama",0,0,87,194,144,92,71,87,234,28,234,0,392,244,120,28,28,330,84,74,49
"G0100570","2014-2018","AL",,,"Alabama","01","Fayette County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01057",,,"Fayette County, Alabama",16585,16300,14042,1858,0,108,6,0,286,0,286,285,53,120,0,0,0,0,112,0,112,"Fayette County, Alabama",0,0,19,169,19,68,13,19,146,19,146,0,69,98,19,19,19,19,99,19,99
"G0100590","2014-2018","AL",,,"Alabama","01","Franklin County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01059",,,"Franklin County, Alabama",31542,26209,24313,1338,159,119,0,17,263,0,263,5333,2154,50,329,0,0,2750,50,21,29,"Franklin County, Alabama",0,0,29,96,101,6,25,29,129,25,129,0,609,77,324,25,25,609,36,15,32
"G0100610","2014-2018","AL",,,"Alabama","01","Geneva County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01061",,,"Geneva County, Alabama",26491,25464,22235,2468,191,109,4,0,457,0,457,1027,636,61,19,0,0,243,68,68,0,"Geneva County, Alabama",0,0,22,125,58,16,7,22,139,22,139,0,212,95,31,22,22,170,89,89,22
"G0100630","2014-2018","AL",,,"Alabama","01","Greene County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01063",,,"Greene County, Alabama",8426,8283,1445,6707,48,0,0,0,83,22,61,143,0,6,0,0,0,0,137,0,137,"Greene County, Alabama",0,193,17,230,81,17,17,17,87,40,73,193,17,7,17,17,17,17,195,17,195
"G0100650","2014-2018","AL",,,"Alabama","01","Hale County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01065",,,"Hale County, Alabama",14887,14757,5898,8743,29,39,0,16,32,0,32,130,0,5,0,0,0,85,40,40,0,"Hale County, Alabama",0,128,25,143,45,41,19,25,49,19,49,128,19,9,19,19,19,92,52,52,19
"G0100670","2014-2018","AL",,,"Alabama","01","Henry County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01067",,,"Henry County, Alabama",17124,16676,11805,4727,4,0,0,0,140,0,140,448,374,22,0,0,0,37,15,15,0,"Henry County, Alabama",0,0,19,101,7,19,19,19,101,19,101,0,79,54,19,19,19,37,21,21,19
"G0100690","2014-2018","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01069",,,"Houston County, Alabama",104352,100915,69826,27887,277,848,13,75,1989,80,1909,3437,2561,191,28,25,5,447,180,95,85,"Houston County, Alabama",0,0,37,153,77,54,20,38,171,51,177,0,152,86,23,17,8,123,57,49,36
"G0100710","2014-2018","AL",,,"Alabama","01","Jackson County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01071",,,"Jackson County, Alabama",52094,50589,46537,1799,545,215,77,50,1366,5,1361,1505,875,0,70,0,0,502,58,26,32,"Jackson County, Alabama",0,0,64,162,174,47,81,65,225,7,224,0,262,28,97,28,28,259,46,36,27
"G0100730","2014-2018","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01073",,,"Jefferson County, Alabama",659892,634844,330862,280748,1265,10169,206,1465,10129,486,9643,25048,11729,954,299,81,9,10933,1043,851,192,"Jefferson County, Alabama",0,0,187,1302,318,659,27,656,1379,339,1344,0,1146,376,184,82,15,1211,311,320,98
"G0100750","2014-2018","AL",,,"Alabama","01","Lamar County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01075",,,"Lamar County, Alabama",13933,13715,11981,1558,0,0,0,107,69,0,69,218,206,0,0,0,0,12,0,0,0,"Lamar County, Alabama",0,0,19,134,19,19,19,136,61,19,61,0,20,19,19,19,19,20,19,19,19
"G0100770","2014-2018","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01077",,,"Lauderdale County, Alabama",92585,90173,78501,9183,417,612,61,109,1290,10,1280,2412,2060,181,0,0,0,70,101,66,35,"Lauderdale County, Alabama",0,0,52,255,121,64,48,89,302,15,301,0,169,153,28,28,28,48,59,53,32
"G0100790","2014-2018","AL",,,"Alabama","01","Lawrence County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01079",,,"Lawrence County, Alabama",33171,32464,25390,3615,1878,44,24,0,1513,39,1474,707,552,12,0,0,0,5,138,128,10,"Lawrence County, Alabama",0,0,46,218,326,63,34,25,372,46,372,0,182,22,25,25,25,9,184,183,18
"G0100810","2014-2018","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01081",,,"Lee County, Alabama",159287,153422,107395,36389,226,6475,0,295,2642,71,2571,5865,4591,286,0,102,18,566,302,175,127,"Lee County, Alabama",0,0,191,425,107,183,28,184,477,60,484,0,320,206,28,96,30,263,162,126,105
"G0100830","2014-2018","AL",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01083",,,"Limestone County, Alabama",93052,87573,71554,12405,821,1163,0,1,1629,8,1621,5479,3589,63,32,11,24,1661,99,37,62,"Limestone County, Alabama",0,0,13,291,160,234,28,2,400,13,402,0,612,72,50,18,36,603,79,47,63
"G0100850","2014-2018","AL",,,"Alabama","01","Lowndes County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01085",,,"Lowndes County, Alabama",10236,10166,2505,7586,13,0,0,0,62,0,62,70,41,15,0,0,0,0,14,0,14,"Lowndes County, Alabama",0,47,19,89,20,19,19,19,57,19,57,47,34,25,19,19,19,19,20,19,20
"G0100870","2014-2018","AL",,,"Alabama","01","Macon County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01087",,,"Macon County, Alabama",19054,18726,2972,15583,43,50,0,9,69,0,69,328,53,157,20,0,0,98,0,0,0,"Macon County, Alabama",0,0,19,52,33,46,19,14,37,19,37,0,66,64,41,19,19,53,19,19,19
"G0100890","2014-2018","AL",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01089",,,"Madison County, Alabama",357560,340266,232115,85293,1847,8992,307,1066,10646,110,10536,17294,11720,719,128,81,17,3434,1195,669,526,"Madison County, Alabama",0,0,339,901,295,410,51,434,1056,72,1036,0,950,317,98,58,29,771,322,311,167
"G0100910","2014-2018","AL",,,"Alabama","01","Marengo County","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01091",,,"Marengo County, Alabama",19538,19423,8791,10518,51,0,0,7,56,0,56,115,64,0,0,0,0,51,0,0,0,"Marengo County, Alabama",0,119,12,120,31,19,19,12,31,19,31,119,74,19,19,19,19,96,19,19,19
"G0100930","2014-2018","AL",,,"Alabama","01","Marion County","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01093",,,"Marion County, Alabama",29965,29213,27559,1047,122,49,0,0,436,0,436,752,327,50,0,0,0,300,75,1,74,"Marion County, Alabama",0,0,22,116,54,41,22,22,138,22,138,0,175,64,22,22,22,202,97,3,98
"G0100950","2014-2018","AL",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01095",,,"Marshall County, Alabama",95145,82184,77297,2456,334,570,46,90,1391,60,1331,12961,10590,0,55,0,0,2006,310,151,159,"Marshall County, Alabama",0,0,99,133,104,103,37,86,175,51,170,0,823,28,74,28,28,780,193,104,163
"G0100970","2014-2018","AL",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01097",,,"Mobile County, Alabama",414659,402686,236987,146600,2872,8117,62,1315,6733,188,6545,11973,6671,834,43,0,0,3689,736,300,436,"Mobile County, Alabama",0,0,284,731,375,422,50,484,771,123,750,0,853,439,48,28,28,910,291,146,260
"G0100990","2014-2018","AL",,,"Alabama","01","Monroe County","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01099",,,"Monroe County, Alabama",21512,21210,11689,8774,346,120,0,0,281,0,281,302,125,153,0,0,0,24,0,0,0,"Monroe County, Alabama",0,0,22,171,47,22,22,22,185,22,185,0,125,125,22,22,22,37,22,22,22
"G0101010","2014-2018","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01101",,,"Montgomery County, Alabama",226941,219192,78393,130513,283,6059,39,189,3716,294,3422,7749,4469,353,131,45,17,2333,401,238,163,"Montgomery County, Alabama",0,0,55,437,103,357,39,105,574,184,539,0,574,175,106,53,20,588,154,113,98
"G0101030","2014-2018","AL",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01103",,,"Morgan County, Alabama",119122,109431,90497,15141,713,775,48,89,2168,26,2142,9691,5469,87,27,0,0,3965,143,71,72,"Morgan County, Alabama",0,0,95,293,268,134,62,97,377,31,377,0,796,102,46,28,28,782,88,60,68
"G0101050","2014-2018","AL",,,"Alabama","01","Perry County","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01105",,,"Perry County, Alabama",9486,9397,2798,6569,6,21,0,3,0,0,0,89,40,19,0,0,0,30,0,0,0,"Perry County, Alabama",0,60,17,66,9,26,17,5,17,17,17,60,30,36,17,17,17,36,17,17,17
"G0101070","2014-2018","AL",,,"Alabama","01","Pickens County","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01107",,,"Pickens County, Alabama",20298,19366,10925,8148,25,13,8,8,239,0,239,932,437,219,0,0,0,254,22,22,0,"Pickens County, Alabama",0,0,17,138,37,22,12,17,134,22,134,0,133,153,22,22,22,113,34,34,22
"G0101090","2014-2018","AL",,,"Alabama","01","Pike County","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01109",,,"Pike County, Alabama",33403,33140,18765,12661,209,715,3,21,766,0,766,263,195,36,0,0,0,2,30,29,1,"Pike County, Alabama",0,114,36,463,56,69,5,36,472,25,472,114,99,26,25,25,25,4,41,40,2
"G0101110","2014-2018","AL",,,"Alabama","01","Randolph County","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01111",,,"Randolph County, Alabama",22574,21909,16991,4413,51,68,51,13,322,7,315,665,452,134,0,0,0,71,8,0,8,"Randolph County, Alabama",0,0,24,223,64,73,79,22,151,11,152,0,180,176,22,22,22,95,14,22,14
"G0101130","2014-2018","AL",,,"Alabama","01","Russell County","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01113",,,"Russell County, Alabama",58213,55093,27354,24787,160,451,72,240,2029,11,2018,3120,1902,170,5,67,0,600,376,201,175,"Russell County, Alabama",0,0,255,571,129,125,105,268,582,17,583,0,568,122,8,102,28,504,290,162,194
"G0101150","2014-2018","AL",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01115",,,"St. Clair County, Alabama",87306,85217,75109,8212,285,700,8,0,903,16,887,2089,1115,40,30,37,0,689,178,166,12,"St. Clair County, Alabama",0,0,25,235,133,120,16,28,282,25,278,0,297,67,49,51,28,309,135,131,19
"G0101170","2014-2018","AL",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01117",,,"Shelby County, Alabama",211261,199136,165058,25166,468,4249,47,471,3677,111,3566,12125,4540,289,0,0,0,7044,252,194,58,"Shelby County, Alabama",0,0,219,423,194,400,28,275,594,81,581,0,666,288,28,28,28,706,173,170,58
"G0101190","2014-2018","AL",,,"Alabama","01","Sumter County","119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01119",,,"Sumter County, Alabama",12985,12972,3201,9345,8,338,0,51,29,0,29,13,0,1,0,0,0,8,4,4,0,"Sumter County, Alabama",0,19,19,272,13,261,19,78,30,19,30,19,19,6,19,19,19,17,7,7,19
"G0101210","2014-2018","AL",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01121",,,"Talladega County, Alabama",80565,78747,50655,25992,301,450,28,70,1251,26,1225,1818,1065,18,44,20,0,608,63,23,40,"Talladega County, Alabama",0,0,55,332,124,102,34,63,381,29,380,0,268,28,77,29,28,273,64,32,59
"G0101230","2014-2018","AL",,,"Alabama","01","Tallapoosa County","123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01123",,,"Tallapoosa County, Alabama",40636,39682,28000,11012,130,155,0,0,385,2,383,954,251,133,0,0,0,555,15,13,2,"Tallapoosa County, Alabama",0,0,25,138,67,103,25,25,191,3,192,0,229,72,25,25,25,248,22,21,5
"G0101250","2014-2018","AL",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01125",,,"Tuscaloosa County, Alabama",206213,198776,127767,65058,283,3282,73,114,2199,64,2135,7437,5110,202,110,20,0,1869,126,81,45,"Tuscaloosa County, Alabama",0,0,153,301,110,202,81,118,366,102,366,0,838,147,174,25,28,785,80,63,48
"G0101270","2014-2018","AL",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01127",,,"Walker County, Alabama",64493,62948,57475,3954,55,309,0,80,1075,0,1075,1545,1072,53,54,10,0,258,98,0,98,"Walker County, Alabama",0,0,113,170,35,81,28,113,191,28,191,0,248,75,66,19,28,212,88,28,88
"G0101290","2014-2018","AL",,,"Alabama","01","Washington County","129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01129",,,"Washington County, Alabama",16643,16461,10835,4086,1218,62,0,0,260,0,260,182,168,0,9,0,0,5,0,0,0,"Washington County, Alabama",0,181,19,226,184,56,19,19,217,19,217,181,180,19,16,19,19,12,19,19,19
"G0101310","2014-2018","AL",,,"Alabama","01","Wilcox County","131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01131",,,"Wilcox County, Alabama",10809,10739,2901,7511,11,0,0,0,316,0,316,70,2,0,11,0,0,57,0,0,0,"Wilcox County, Alabama",0,51,19,383,12,19,19,19,367,19,367,51,5,19,16,19,19,48,19,19,19
"G0101330","2014-2018","AL",,,"Alabama","01","Winston County","133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01133",,,"Winston County, Alabama",23875,23141,22428,90,93,31,9,0,490,4,486,734,573,0,0,0,0,161,0,0,0,"Winston County, Alabama",0,0,7,53,48,44,15,22,84,7,83,0,135,22,22,22,22,135,22,22,22
"G0200130","2014-2018","AK",,,"Alaska","02","Aleutians East Borough","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02013",,,"Aleutians East Borough, Alaska",3425,3079,515,117,1322,878,25,0,222,0,222,346,90,27,27,0,0,159,43,33,10,"Aleutians East Borough, Alaska",0,94,85,93,208,127,21,9,42,9,42,94,63,25,30,9,9,76,27,25,8
"G0200160","2014-2018","AK",,,"Alaska","02","Aleutians West Census Area","016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02016",,,"Aleutians West Census Area, Alaska",5750,4952,1389,246,634,2270,147,4,262,7,255,798,310,0,17,30,1,310,130,100,30,"Aleutians West Census Area, Alaska",0,0,4,67,24,74,13,4,49,7,48,0,100,13,37,19,2,130,70,63,22
